story,text
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,Sherlock Holmes had sprung out and seized the intruder by the
ADVENTURE II. THE RED-HEADED LEAGUE,"collar. The other dived down the hole, and I heard the sound of"
ADVENTURE II. THE RED-HEADED LEAGUE,rending cloth as Jones clutched at his skirts. The light flashed
ADVENTURE II. THE RED-HEADED LEAGUE,"upon the barrel of a revolver, but Holmes' hunting crop came"
ADVENTURE II. THE RED-HEADED LEAGUE,"down on the man's wrist, and the pistol clinked upon the stone"
ADVENTURE II. THE RED-HEADED LEAGUE,floor.
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""It's no use, John Clay,"" said Holmes blandly. ""You have no"
ADVENTURE II. THE RED-HEADED LEAGUE,"chance at all."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""So I see,"" the other answered with the utmost coolness. ""I fancy"
ADVENTURE II. THE RED-HEADED LEAGUE,"that my pal is all right, though I see you have got his"
ADVENTURE II. THE RED-HEADED LEAGUE,"coat-tails."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""There are three men waiting for him at the door,"" said Holmes."
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""Oh, indeed! You seem to have done the thing very completely. I"
ADVENTURE II. THE RED-HEADED LEAGUE,"must compliment you."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""And I you,"" Holmes answered. ""Your red-headed idea was very new"
ADVENTURE II. THE RED-HEADED LEAGUE,"and effective."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""You'll see your pal again presently,"" said Jones. ""He's quicker"
ADVENTURE II. THE RED-HEADED LEAGUE,at climbing down holes than I am. Just hold out while I fix the
ADVENTURE II. THE RED-HEADED LEAGUE,"derbies."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""I beg that you will not touch me with your filthy hands,"""
ADVENTURE II. THE RED-HEADED LEAGUE,remarked our prisoner as the handcuffs clattered upon his wrists.
ADVENTURE II. THE RED-HEADED LEAGUE,"""You may not be aware that I have royal blood in my veins. Have"
ADVENTURE II. THE RED-HEADED LEAGUE,"the goodness, also, when you address me always to say 'sir' and"
ADVENTURE II. THE RED-HEADED LEAGUE,"'please.'"""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""All right,"" said Jones with a stare and a snigger. ""Well, would"
ADVENTURE II. THE RED-HEADED LEAGUE,"you please, sir, march upstairs, where we can get a cab to carry"
ADVENTURE II. THE RED-HEADED LEAGUE,"your Highness to the police-station?"""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""That is better,"" said John Clay serenely. He made a sweeping bow"
ADVENTURE II. THE RED-HEADED LEAGUE,to the three of us and walked quietly off in the custody of the
ADVENTURE II. THE RED-HEADED LEAGUE,detective.
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""Really, Mr. Holmes,"" said Mr. Merryweather as we followed them"
ADVENTURE II. THE RED-HEADED LEAGUE,"from the cellar, ""I do not know how the bank can thank you or"
ADVENTURE II. THE RED-HEADED LEAGUE,repay you. There is no doubt that you have detected and defeated
ADVENTURE II. THE RED-HEADED LEAGUE,in the most complete manner one of the most determined attempts
ADVENTURE II. THE RED-HEADED LEAGUE,"at bank robbery that have ever come within my experience."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""I have had one or two little scores of my own to settle with Mr."
ADVENTURE II. THE RED-HEADED LEAGUE,"John Clay,"" said Holmes. ""I have been at some small expense over"
ADVENTURE II. THE RED-HEADED LEAGUE,"this matter, which I shall expect the bank to refund, but beyond"
ADVENTURE II. THE RED-HEADED LEAGUE,that I am amply repaid by having had an experience which is in
ADVENTURE II. THE RED-HEADED LEAGUE,"many ways unique, and by hearing the very remarkable narrative of"
ADVENTURE II. THE RED-HEADED LEAGUE,"the Red-headed League."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""You see, Watson,"" he explained in the early hours of the morning"
ADVENTURE II. THE RED-HEADED LEAGUE,"as we sat over a glass of whisky and soda in Baker Street, ""it"
ADVENTURE II. THE RED-HEADED LEAGUE,was perfectly obvious from the first that the only possible
ADVENTURE II. THE RED-HEADED LEAGUE,object of this rather fantastic business of the advertisement of
ADVENTURE II. THE RED-HEADED LEAGUE,"the League, and the copying of the 'Encyclopaedia,' must be to get"
ADVENTURE II. THE RED-HEADED LEAGUE,this not over-bright pawnbroker out of the way for a number of
ADVENTURE II. THE RED-HEADED LEAGUE,"hours every day. It was a curious way of managing it, but,"
ADVENTURE II. THE RED-HEADED LEAGUE,"really, it would be difficult to suggest a better. The method was"
ADVENTURE II. THE RED-HEADED LEAGUE,no doubt suggested to Clay's ingenious mind by the colour of his
ADVENTURE II. THE RED-HEADED LEAGUE,accomplice's hair. The 4 pounds a week was a lure which must draw
ADVENTURE II. THE RED-HEADED LEAGUE,"him, and what was it to them, who were playing for thousands?"
ADVENTURE II. THE RED-HEADED LEAGUE,"They put in the advertisement, one rogue has the temporary"
ADVENTURE II. THE RED-HEADED LEAGUE,"office, the other rogue incites the man to apply for it, and"
ADVENTURE II. THE RED-HEADED LEAGUE,together they manage to secure his absence every morning in the
ADVENTURE II. THE RED-HEADED LEAGUE,week. From the time that I heard of the assistant having come for
ADVENTURE II. THE RED-HEADED LEAGUE,"half wages, it was obvious to me that he had some strong motive"
ADVENTURE II. THE RED-HEADED LEAGUE,"for securing the situation."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""But how could you guess what the motive was?"""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""Had there been women in the house, I should have suspected a"
ADVENTURE II. THE RED-HEADED LEAGUE,"mere vulgar intrigue. That, however, was out of the question. The"
ADVENTURE II. THE RED-HEADED LEAGUE,"man's business was a small one, and there was nothing in his"
ADVENTURE II. THE RED-HEADED LEAGUE,"house which could account for such elaborate preparations, and"
ADVENTURE II. THE RED-HEADED LEAGUE,"such an expenditure as they were at. It must, then, be something"
ADVENTURE II. THE RED-HEADED LEAGUE,out of the house. What could it be? I thought of the assistant's
ADVENTURE II. THE RED-HEADED LEAGUE,"fondness for photography, and his trick of vanishing into the"
ADVENTURE II. THE RED-HEADED LEAGUE,cellar. The cellar! There was the end of this tangled clue. Then
ADVENTURE II. THE RED-HEADED LEAGUE,I made inquiries as to this mysterious assistant and found that I
ADVENTURE II. THE RED-HEADED LEAGUE,had to deal with one of the coolest and most daring criminals in
ADVENTURE II. THE RED-HEADED LEAGUE,London. He was doing something in the cellar--something which
ADVENTURE II. THE RED-HEADED LEAGUE,"took many hours a day for months on end. What could it be, once"
ADVENTURE II. THE RED-HEADED LEAGUE,more? I could think of nothing save that he was running a tunnel
ADVENTURE II. THE RED-HEADED LEAGUE,to some other building.
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""So far I had got when we went to visit the scene of action. I"
ADVENTURE II. THE RED-HEADED LEAGUE,surprised you by beating upon the pavement with my stick. I was
ADVENTURE II. THE RED-HEADED LEAGUE,ascertaining whether the cellar stretched out in front or behind.
ADVENTURE II. THE RED-HEADED LEAGUE,"It was not in front. Then I rang the bell, and, as I hoped, the"
ADVENTURE II. THE RED-HEADED LEAGUE,"assistant answered it. We have had some skirmishes, but we had"
ADVENTURE II. THE RED-HEADED LEAGUE,never set eyes upon each other before. I hardly looked at his
ADVENTURE II. THE RED-HEADED LEAGUE,face. His knees were what I wished to see. You must yourself have
ADVENTURE II. THE RED-HEADED LEAGUE,"remarked how worn, wrinkled, and stained they were. They spoke of"
ADVENTURE II. THE RED-HEADED LEAGUE,those hours of burrowing. The only remaining point was what they
ADVENTURE II. THE RED-HEADED LEAGUE,"were burrowing for. I walked round the corner, saw the City and"
ADVENTURE II. THE RED-HEADED LEAGUE,"Suburban Bank abutted on our friend's premises, and felt that I"
ADVENTURE II. THE RED-HEADED LEAGUE,had solved my problem. When you drove home after the concert I
ADVENTURE II. THE RED-HEADED LEAGUE,called upon Scotland Yard and upon the chairman of the bank
ADVENTURE II. THE RED-HEADED LEAGUE,"directors, with the result that you have seen."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""And how could you tell that they would make their attempt"
ADVENTURE II. THE RED-HEADED LEAGUE,"to-night?"" I asked."
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""Well, when they closed their League offices that was a sign that"
ADVENTURE II. THE RED-HEADED LEAGUE,they cared no longer about Mr. Jabez Wilson's presence--in other
ADVENTURE II. THE RED-HEADED LEAGUE,"words, that they had completed their tunnel. But it was essential"
ADVENTURE II. THE RED-HEADED LEAGUE,"that they should use it soon, as it might be discovered, or the"
ADVENTURE II. THE RED-HEADED LEAGUE,bullion might be removed. Saturday would suit them better than
ADVENTURE II. THE RED-HEADED LEAGUE,"any other day, as it would give them two days for their escape."
ADVENTURE II. THE RED-HEADED LEAGUE,"For all these reasons I expected them to come to-night."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""You reasoned it out beautifully,"" I exclaimed in unfeigned"
ADVENTURE II. THE RED-HEADED LEAGUE,"admiration. ""It is so long a chain, and yet every link rings"
ADVENTURE II. THE RED-HEADED LEAGUE,"true."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""It saved me from ennui,"" he answered, yawning. ""Alas! I already"
ADVENTURE II. THE RED-HEADED LEAGUE,feel it closing in upon me. My life is spent in one long effort
ADVENTURE II. THE RED-HEADED LEAGUE,to escape from the commonplaces of existence. These little
ADVENTURE II. THE RED-HEADED LEAGUE,"problems help me to do so."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"""And you are a benefactor of the race,"" said I."
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,"He shrugged his shoulders. ""Well, perhaps, after all, it is of"
ADVENTURE II. THE RED-HEADED LEAGUE,"some little use,"" he remarked. ""'L'homme c'est rien--l'oeuvre"
ADVENTURE II. THE RED-HEADED LEAGUE,"c'est tout,' as Gustave Flaubert wrote to George Sand."""
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE II. THE RED-HEADED LEAGUE,NA
ADVENTURE III. A CASE OF IDENTITY,ADVENTURE III. A CASE OF IDENTITY
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""My dear fellow,"" said Sherlock Holmes as we sat on either side"
ADVENTURE III. A CASE OF IDENTITY,"of the fire in his lodgings at Baker Street, ""life is infinitely"
ADVENTURE III. A CASE OF IDENTITY,stranger than anything which the mind of man could invent. We
ADVENTURE III. A CASE OF IDENTITY,would not dare to conceive the things which are really mere
ADVENTURE III. A CASE OF IDENTITY,commonplaces of existence. If we could fly out of that window
ADVENTURE III. A CASE OF IDENTITY,"hand in hand, hover over this great city, gently remove the"
ADVENTURE III. A CASE OF IDENTITY,"roofs, and peep in at the queer things which are going on, the"
ADVENTURE III. A CASE OF IDENTITY,"strange coincidences, the plannings, the cross-purposes, the"
ADVENTURE III. A CASE OF IDENTITY,"wonderful chains of events, working through generations, and"
ADVENTURE III. A CASE OF IDENTITY,"leading to the most outre results, it would make all fiction with"
ADVENTURE III. A CASE OF IDENTITY,its conventionalities and foreseen conclusions most stale and
ADVENTURE III. A CASE OF IDENTITY,"unprofitable."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""And yet I am not convinced of it,"" I answered. ""The cases which"
ADVENTURE III. A CASE OF IDENTITY,"come to light in the papers are, as a rule, bald enough, and"
ADVENTURE III. A CASE OF IDENTITY,vulgar enough. We have in our police reports realism pushed to
ADVENTURE III. A CASE OF IDENTITY,"its extreme limits, and yet the result is, it must be confessed,"
ADVENTURE III. A CASE OF IDENTITY,"neither fascinating nor artistic."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""A certain selection and discretion must be used in producing a"
ADVENTURE III. A CASE OF IDENTITY,"realistic effect,"" remarked Holmes. ""This is wanting in the"
ADVENTURE III. A CASE OF IDENTITY,"police report, where more stress is laid, perhaps, upon the"
ADVENTURE III. A CASE OF IDENTITY,"platitudes of the magistrate than upon the details, which to an"
ADVENTURE III. A CASE OF IDENTITY,observer contain the vital essence of the whole matter. Depend
ADVENTURE III. A CASE OF IDENTITY,"upon it, there is nothing so unnatural as the commonplace."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"I smiled and shook my head. ""I can quite understand your thinking"
ADVENTURE III. A CASE OF IDENTITY,"so,"" I said. ""Of course, in your position of unofficial adviser"
ADVENTURE III. A CASE OF IDENTITY,"and helper to everybody who is absolutely puzzled, throughout"
ADVENTURE III. A CASE OF IDENTITY,"three continents, you are brought in contact with all that is"
ADVENTURE III. A CASE OF IDENTITY,"strange and bizarre. But here""--I picked up the morning paper"
ADVENTURE III. A CASE OF IDENTITY,"from the ground--""let us put it to a practical test. Here is the"
ADVENTURE III. A CASE OF IDENTITY,first heading upon which I come. 'A husband's cruelty to his
ADVENTURE III. A CASE OF IDENTITY,"wife.' There is half a column of print, but I know without"
ADVENTURE III. A CASE OF IDENTITY,"reading it that it is all perfectly familiar to me. There is, of"
ADVENTURE III. A CASE OF IDENTITY,"course, the other woman, the drink, the push, the blow, the"
ADVENTURE III. A CASE OF IDENTITY,"bruise, the sympathetic sister or landlady. The crudest of"
ADVENTURE III. A CASE OF IDENTITY,"writers could invent nothing more crude."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Indeed, your example is an unfortunate one for your argument,"""
ADVENTURE III. A CASE OF IDENTITY,"said Holmes, taking the paper and glancing his eye down it. ""This"
ADVENTURE III. A CASE OF IDENTITY,"is the Dundas separation case, and, as it happens, I was engaged"
ADVENTURE III. A CASE OF IDENTITY,in clearing up some small points in connection with it. The
ADVENTURE III. A CASE OF IDENTITY,"husband was a teetotaler, there was no other woman, and the"
ADVENTURE III. A CASE OF IDENTITY,conduct complained of was that he had drifted into the habit of
ADVENTURE III. A CASE OF IDENTITY,winding up every meal by taking out his false teeth and hurling
ADVENTURE III. A CASE OF IDENTITY,"them at his wife, which, you will allow, is not an action likely"
ADVENTURE III. A CASE OF IDENTITY,to occur to the imagination of the average story-teller. Take a
ADVENTURE III. A CASE OF IDENTITY,"pinch of snuff, Doctor, and acknowledge that I have scored over"
ADVENTURE III. A CASE OF IDENTITY,"you in your example."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"He held out his snuffbox of old gold, with a great amethyst in"
ADVENTURE III. A CASE OF IDENTITY,the centre of the lid. Its splendour was in such contrast to his
ADVENTURE III. A CASE OF IDENTITY,homely ways and simple life that I could not help commenting upon
ADVENTURE III. A CASE OF IDENTITY,it.
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Ah,"" said he, ""I forgot that I had not seen you for some weeks."
ADVENTURE III. A CASE OF IDENTITY,It is a little souvenir from the King of Bohemia in return for my
ADVENTURE III. A CASE OF IDENTITY,"assistance in the case of the Irene Adler papers."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""And the ring?"" I asked, glancing at a remarkable brilliant which"
ADVENTURE III. A CASE OF IDENTITY,sparkled upon his finger.
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""It was from the reigning family of Holland, though the matter in"
ADVENTURE III. A CASE OF IDENTITY,which I served them was of such delicacy that I cannot confide it
ADVENTURE III. A CASE OF IDENTITY,"even to you, who have been good enough to chronicle one or two of"
ADVENTURE III. A CASE OF IDENTITY,"my little problems."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""And have you any on hand just now?"" I asked with interest."
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Some ten or twelve, but none which present any feature of"
ADVENTURE III. A CASE OF IDENTITY,"interest. They are important, you understand, without being"
ADVENTURE III. A CASE OF IDENTITY,"interesting. Indeed, I have found that it is usually in"
ADVENTURE III. A CASE OF IDENTITY,"unimportant matters that there is a field for the observation,"
ADVENTURE III. A CASE OF IDENTITY,and for the quick analysis of cause and effect which gives the
ADVENTURE III. A CASE OF IDENTITY,charm to an investigation. The larger crimes are apt to be the
ADVENTURE III. A CASE OF IDENTITY,"simpler, for the bigger the crime the more obvious, as a rule, is"
ADVENTURE III. A CASE OF IDENTITY,"the motive. In these cases, save for one rather intricate matter"
ADVENTURE III. A CASE OF IDENTITY,"which has been referred to me from Marseilles, there is nothing"
ADVENTURE III. A CASE OF IDENTITY,"which presents any features of interest. It is possible, however,"
ADVENTURE III. A CASE OF IDENTITY,that I may have something better before very many minutes are
ADVENTURE III. A CASE OF IDENTITY,"over, for this is one of my clients, or I am much mistaken."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,He had risen from his chair and was standing between the parted
ADVENTURE III. A CASE OF IDENTITY,blinds gazing down into the dull neutral-tinted London street.
ADVENTURE III. A CASE OF IDENTITY,"Looking over his shoulder, I saw that on the pavement opposite"
ADVENTURE III. A CASE OF IDENTITY,"there stood a large woman with a heavy fur boa round her neck,"
ADVENTURE III. A CASE OF IDENTITY,and a large curling red feather in a broad-brimmed hat which was
ADVENTURE III. A CASE OF IDENTITY,tilted in a coquettish Duchess of Devonshire fashion over her
ADVENTURE III. A CASE OF IDENTITY,"ear. From under this great panoply she peeped up in a nervous,"
ADVENTURE III. A CASE OF IDENTITY,"hesitating fashion at our windows, while her body oscillated"
ADVENTURE III. A CASE OF IDENTITY,"backward and forward, and her fingers fidgeted with her glove"
ADVENTURE III. A CASE OF IDENTITY,"buttons. Suddenly, with a plunge, as of the swimmer who leaves"
ADVENTURE III. A CASE OF IDENTITY,"the bank, she hurried across the road, and we heard the sharp"
ADVENTURE III. A CASE OF IDENTITY,clang of the bell.
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""I have seen those symptoms before,"" said Holmes, throwing his"
ADVENTURE III. A CASE OF IDENTITY,"cigarette into the fire. ""Oscillation upon the pavement always"
ADVENTURE III. A CASE OF IDENTITY,"means an affaire de coeur. She would like advice, but is not sure"
ADVENTURE III. A CASE OF IDENTITY,that the matter is not too delicate for communication. And yet
ADVENTURE III. A CASE OF IDENTITY,even here we may discriminate. When a woman has been seriously
ADVENTURE III. A CASE OF IDENTITY,"wronged by a man she no longer oscillates, and the usual symptom"
ADVENTURE III. A CASE OF IDENTITY,is a broken bell wire. Here we may take it that there is a love
ADVENTURE III. A CASE OF IDENTITY,"matter, but that the maiden is not so much angry as perplexed, or"
ADVENTURE III. A CASE OF IDENTITY,"grieved. But here she comes in person to resolve our doubts."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"As he spoke there was a tap at the door, and the boy in buttons"
ADVENTURE III. A CASE OF IDENTITY,"entered to announce Miss Mary Sutherland, while the lady herself"
ADVENTURE III. A CASE OF IDENTITY,loomed behind his small black figure like a full-sailed
ADVENTURE III. A CASE OF IDENTITY,merchant-man behind a tiny pilot boat. Sherlock Holmes welcomed
ADVENTURE III. A CASE OF IDENTITY,"her with the easy courtesy for which he was remarkable, and,"
ADVENTURE III. A CASE OF IDENTITY,"having closed the door and bowed her into an armchair, he looked"
ADVENTURE III. A CASE OF IDENTITY,her over in the minute and yet abstracted fashion which was
ADVENTURE III. A CASE OF IDENTITY,peculiar to him.
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Do you not find,"" he said, ""that with your short sight it is a"
ADVENTURE III. A CASE OF IDENTITY,"little trying to do so much typewriting?"""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""I did at first,"" she answered, ""but now I know where the letters"
ADVENTURE III. A CASE OF IDENTITY,"are without looking."" Then, suddenly realising the full purport"
ADVENTURE III. A CASE OF IDENTITY,"of his words, she gave a violent start and looked up, with fear"
ADVENTURE III. A CASE OF IDENTITY,"and astonishment upon her broad, good-humoured face. ""You've"
ADVENTURE III. A CASE OF IDENTITY,"heard about me, Mr. Holmes,"" she cried, ""else how could you know"
ADVENTURE III. A CASE OF IDENTITY,"all that?"""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Never mind,"" said Holmes, laughing; ""it is my business to know"
ADVENTURE III. A CASE OF IDENTITY,things. Perhaps I have trained myself to see what others
ADVENTURE III. A CASE OF IDENTITY,"overlook. If not, why should you come to consult me?"""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""I came to you, sir, because I heard of you from Mrs. Etherege,"
ADVENTURE III. A CASE OF IDENTITY,whose husband you found so easy when the police and everyone had
ADVENTURE III. A CASE OF IDENTITY,"given him up for dead. Oh, Mr. Holmes, I wish you would do as"
ADVENTURE III. A CASE OF IDENTITY,"much for me. I'm not rich, but still I have a hundred a year in"
ADVENTURE III. A CASE OF IDENTITY,"my own right, besides the little that I make by the machine, and"
ADVENTURE III. A CASE OF IDENTITY,"I would give it all to know what has become of Mr. Hosmer Angel."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Why did you come away to consult me in such a hurry?"" asked"
ADVENTURE III. A CASE OF IDENTITY,"Sherlock Holmes, with his finger-tips together and his eyes to"
ADVENTURE III. A CASE OF IDENTITY,the ceiling.
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,Again a startled look came over the somewhat vacuous face of Miss
ADVENTURE III. A CASE OF IDENTITY,"Mary Sutherland. ""Yes, I did bang out of the house,"" she said,"
ADVENTURE III. A CASE OF IDENTITY,"""for it made me angry to see the easy way in which Mr."
ADVENTURE III. A CASE OF IDENTITY,"Windibank--that is, my father--took it all. He would not go to"
ADVENTURE III. A CASE OF IDENTITY,"the police, and he would not go to you, and so at last, as he"
ADVENTURE III. A CASE OF IDENTITY,"would do nothing and kept on saying that there was no harm done,"
ADVENTURE III. A CASE OF IDENTITY,"it made me mad, and I just on with my things and came right away"
ADVENTURE III. A CASE OF IDENTITY,"to you."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Your father,"" said Holmes, ""your stepfather, surely, since the"
ADVENTURE III. A CASE OF IDENTITY,"name is different."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Yes, my stepfather. I call him father, though it sounds funny,"
ADVENTURE III. A CASE OF IDENTITY,"too, for he is only five years and two months older than myself."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""And your mother is alive?"""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Oh, yes, mother is alive and well. I wasn't best pleased, Mr."
ADVENTURE III. A CASE OF IDENTITY,"Holmes, when she married again so soon after father's death, and"
ADVENTURE III. A CASE OF IDENTITY,a man who was nearly fifteen years younger than herself. Father
ADVENTURE III. A CASE OF IDENTITY,"was a plumber in the Tottenham Court Road, and he left a tidy"
ADVENTURE III. A CASE OF IDENTITY,"business behind him, which mother carried on with Mr. Hardy, the"
ADVENTURE III. A CASE OF IDENTITY,foreman; but when Mr. Windibank came he made her sell the
ADVENTURE III. A CASE OF IDENTITY,"business, for he was very superior, being a traveller in wines."
ADVENTURE III. A CASE OF IDENTITY,"They got 4700 pounds for the goodwill and interest, which wasn't"
ADVENTURE III. A CASE OF IDENTITY,"near as much as father could have got if he had been alive."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,I had expected to see Sherlock Holmes impatient under this
ADVENTURE III. A CASE OF IDENTITY,"rambling and inconsequential narrative, but, on the contrary, he"
ADVENTURE III. A CASE OF IDENTITY,had listened with the greatest concentration of attention.
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Your own little income,"" he asked, ""does it come out of the"
ADVENTURE III. A CASE OF IDENTITY,"business?"""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""Oh, no, sir. It is quite separate and was left me by my uncle"
ADVENTURE III. A CASE OF IDENTITY,"Ned in Auckland. It is in New Zealand stock, paying 4 1/2 per"
ADVENTURE III. A CASE OF IDENTITY,"cent. Two thousand five hundred pounds was the amount, but I can"
ADVENTURE III. A CASE OF IDENTITY,"only touch the interest."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""You interest me extremely,"" said Holmes. ""And since you draw so"
ADVENTURE III. A CASE OF IDENTITY,"large a sum as a hundred a year, with what you earn into the"
ADVENTURE III. A CASE OF IDENTITY,"bargain, you no doubt travel a little and indulge yourself in"
ADVENTURE III. A CASE OF IDENTITY,every way. I believe that a single lady can get on very nicely
ADVENTURE III. A CASE OF IDENTITY,"upon an income of about 60 pounds."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""I could do with much less than that, Mr. Holmes, but you"
ADVENTURE III. A CASE OF IDENTITY,understand that as long as I live at home I don't wish to be a
ADVENTURE III. A CASE OF IDENTITY,"burden to them, and so they have the use of the money just while"
ADVENTURE III. A CASE OF IDENTITY,"I am staying with them. Of course, that is only just for the"
ADVENTURE III. A CASE OF IDENTITY,time. Mr. Windibank draws my interest every quarter and pays it
ADVENTURE III. A CASE OF IDENTITY,"over to mother, and I find that I can do pretty well with what I"
ADVENTURE III. A CASE OF IDENTITY,"earn at typewriting. It brings me twopence a sheet, and I can"
ADVENTURE III. A CASE OF IDENTITY,"often do from fifteen to twenty sheets in a day."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"""You have made your position very clear to me,"" said Holmes."
ADVENTURE III. A CASE OF IDENTITY,"""This is my friend, Dr. Watson, before whom you can speak as"
ADVENTURE III. A CASE OF IDENTITY,freely as before myself. Kindly tell us now all about your
ADVENTURE III. A CASE OF IDENTITY,"connection with Mr. Hosmer Angel."""
ADVENTURE III. A CASE OF IDENTITY,NA
ADVENTURE III. A CASE OF IDENTITY,"A flush stole over Miss Sutherland's face, and she picked"
ADVENTURE III. A CASE OF IDENTITY,"nervously at the fringe of her jacket. ""I met him first at the"
ADVENTURE III. A CASE OF IDENTITY,"gasfitters' ball,"" she said. ""They used to send father tickets"
ADVENTURE III. A CASE OF IDENTITY,"when he was alive, and then afterwards they remembered us, and"
